name,group
YJL105W,0
YJL106W,0
YJL107C,0
YJL108C,0
YJL111W,0
YJL113W,0
YJL114W,0
YJL115W,0
YJL116C,0
YJL118W,1
YJL127C,0
YJL128C,0
YJL131C,0
YJL132W,0
YJL136C,155
YJL137C,0
YJL140W,0
YJL141C,0
YJL142C,0
YJL144W,0
YJL147C,0
YJL151C,1
YJL152W,1
YJL155C,0
YJL157C,2
YJL158C,1
YJL161W,0
YJL163C,
YJL164C,0
YJL165C,0
YJL171C,0
YJL172W,0
YJL173C,1
YJL176C,1
YJL177W,155
YJL181W,
YJL187C,1
YJL188C,1
YJL189W,1
YJL190C,1
YJL191W,0
YJL192C,0
YJL194W,1
YJL195C,0
YJL196C,0
YJL201W,1
YJL202C,0
YJL206C,1
YJL209W,0
YJL210W,0
YJL211C,0
YJL212C,0
YJL213W,1
YJL214W,0
YJL218W,78
YJL219W,1
YJL221C,1
YJL225C,1
YJR002W,0
YJR004C,1
YJR006W,0
YJR008W,0
YJR009C,5
YJR010W,0
YJR015W,0
YJR016C,2
YJR017C,0
YJR019C,0
YJR025C,
YJR026W,1
YJR027W,5
YJR028W,1
YJR029W,7
YJR030C,0
YJR033C,0
YJR036C,1
YJR039W,0
YJR043C,0
YJR047C,0
YJR048W,6
YJR050W,0
YJR052W,0
YJR055W,0
YJR066W,0
YJR072C,0
YJR073C,1
YJR075W,161
YJR077C,0
YJR078W,
YJR079W,1
YJR080C,0
YJR091C,0
YJR092W,0
YJR093C,0
YJR094C,0
YJR094W-A,1
YJR095W,1
YJR096W,0
YJR098C,0
YJR099W,0
YJR105W,0
YJR107W,0
YJR109C,1
YJR110W,0
YJR112W,1
YJR115W,0
YJR116W,0
YJR117W,0
YJR118C,
YJR119C,0
YJR120W,0
YJR123W,1
YJR126C,0
YJR127C,0
YJR129C,0
YJR131W,
YJR132W,0
YJR137C,1
YJR139C,0
YJR142W,0
YJR145C,
YJR146W,0
YJR148W,0
YJR149W,0
YJR150C,0
YJR151C,0
YJR155W,0
YJR156C,1
YJR157W,0
YJR158W,0
YJR159W,0
YJR160C,0
YJR162C,0
YKL001C,0
YKL006C-A,1
YKL006W,158
YKL008C,0
YKL016C,0
YKL017C,0
YKL018W,0
YKL020C,0
YKL026C,0
YKL027W,0
YKL029C,1
YKL030W,0
YKL031W,0
YKL032C,0
YKL033W,0
YKL036C,0
YKL037W,0
YKL042W,5
YKL043W,0
YKL044W,0
YKL045W,0
YKL046C,1
YKL050C,0
YKL055C,1
YKL056C,1
YKL057C,0
YKL059C,0
YKL060C,1
YKL066W,1
YKL067W,0
YKL068W,0
YKL076C,1
YKL078W,0
YKL086W,
YKL087C,0
YKL089W,
YKL091C,0
YKL092C,1
YKL095W,0
YKL096W,1
YKL096W-A,1
YKL100C,0
YKL101W,1
YKL102C,1
YKL103C,1
YKL105C,0
YKL107W,1
YKL108W,0
YKL109W,0
YKL112W,0
YKL113C,1
YKL115C,1
YKL116C,1
YKL118W,0
YKL121W,0
YKL123W,0
YKL127W,1
YKL129C,0
YKL133C,0
YKL134C,
YKL139W,0
YKL143W,0
YKL144C,
YKL146W,0
YKL147C,1
YKL150W,0
YKL151C,1
YKL152C,1
YKL153W,1
YKL154W,0
YKL156W,1
YKL158W,0
YKL161C,
YKL163W,0
YKL164C,1
YKL166C,0
YKL169C,0
YKL171W,
YKL173W,0
YKL177W,0
YKL178C,0
YKL180W,
YKL182W,0
YKL185W,1
YKL187C,0
YKL190W,163
YKL191W,0
YKL192C,0
YKL194C,0
YKL197C,0
YKL201C,0
YKL204W,0
YKL205W,0
YKL219W,0
YKL222C,0
YKL223W,0
YKL225W,1
YKR002W,1
YKR003W,1
YKR004C,0
YKR005C,0
YKR007W,
YKR009C,0
YKR010C,1
YKR012C,0
YKR013W,0
YKR020W,0
YKR021W,0
YKR031C,0
YKR039W,1
YKR040C,1
YKR041W,0
YKR045C,0
YKR049C,0
YKR051W,0
YKR054C,0
YKR056W,0
YKR057W,1
YKR060W,0
YKR062W,0
YKR067W,0
YKR069W,
YKR072C,0
YKR073C,0
YKR075C,0
YKR076W,0
YKR077W,1
YKR079C,0
YKR084C,0
YKR086W,0
YKR088C,0
YKR090W,0
YKR091W,0
YKR093W,0
YKR094C,1
YKR095W,0
YKR096W,0
YKR097W,0
YKR098C,0
YKR102W,0
YKR104W,0
YKR106W,1
YLL002W,1
YLL004W,0
YLL006W,0
YLL008W,0
YLL010C,0
YLL013C,
YLL016W,0
YLL018C,0
YLL020C,0
YLL021W,0
YLL022C,0
YLL024C,1
YLL025W,0
YLL026W,0
YLL028W,2
YLL034C,0
YLL039C,1
YLL040C,
YLL041C,0
YLL043W,
YLL045C,1
YLL047W,0
YLL052C,5
YLL053C,0
YLL054C,0
YLL057C,
YLL058W,0
YLL059C,0
YLL061W,0
YLL062C,
YLL066C,0
YLL067C,1
YLR001C,0
YLR002C,0
YLR005W,0
YLR007W,0
YLR010C,0
YLR012C,0
YLR014C,0
YLR023C,0
YLR024C,0
YLR025W,
YLR029C,1
YLR030W,0
YLR031W,0
YLR032W,1
YLR035C,0
YLR039C,0
